LGA,SEIFA Score
Greater Dandenong (C),886.6579124
Central Goldfields (S),897.5571127
Brimbank (C),912.4696637
Latrobe (C) (Vic.),930.8178602
Mildura (RC),940.0018025
Hindmarsh (S),940.1013668
Swan Hill (RC),940.6167909
Hume (C),940.8164076
Greater Shepparton (C),944.0409053
Yarriambiack (S),945.9260556
