LGA,Year,Developmentally on track,Developmentally vulnerable
Alpine (S),2021,88.59649123,3.50877193
Ararat (RC),2021,70.33898305,12.71186441
Ballarat (C),2021,79.08396947,9.847328244
Banyule (C),2021,87.64792899,4.215976331
Bass Coast (S),2021,80.76923077,12.13017751
Baw Baw (S),2021,71.67182663,12.38390093
Bayside (C),2021,90.68522484,3.211991435
Benalla (RC),2021,78.76106195,8.849557522
Boroondara (C),2021,85.47140649,4.55950541
Brimbank (C),2021,74.69990766,11.26500462
Buloke (S),2021,68.62745098,11.76470588
Campaspe (S),2021,68.03874092,14.28571429
Cardinia (S),2021,82.3601721,7.25261217
Casey (C),2021,83.99250234,6.579194002
Central Goldfields (S),2021,70.94017094,19.65811966
Colac-Otway (S),2021,83.53909465,6.995884774
Corangamite (S),2021,73.96449704,13.60946746
Darebin (C),2021,83.91376451,5.223880597
East Gippsland (S),2021,80,9.024390244
Frankston (C),2021,80.07402838,8.760024676
Gannawarra (S),2021,80,8.695652174
Glen Eira (C),2021,83.77001456,5.312954876
Glenelg (S),2021,81.38297872,10.10638298
Golden Plains (S),2021,77.39130435,11.30434783
Greater Bendigo (C),2021,76.40625,10.234375
Greater Dandenong (C),2021,77.95321637,10.70175439
Greater Geelong (C),2021,78.88012026,9.056745584
Greater Shepparton (C),2021,75.54417414,11.9078105
Hepburn (S),2021,69.91869919,9.756097561
Hindmarsh (S),2021,64.44444444,13.33333333
Hobsons Bay (C),2021,85.51587302,6.646825397
Horsham (RC),2021,77.87234043,8.510638298
Hume (C),2021,75.09270705,11.49567367
Indigo (S),2021,84.06593407,3.296703297
Kingston (C) (Vic.),2021,84.30094787,6.042654028
Knox (C),2021,81.90127971,7.556368068
Latrobe (C) (Vic.),2021,72.92954265,14.58590853
Loddon (S),2021,79.66101695,11.86440678
Macedon Ranges (S),2021,79.71473851,6.339144216
Manningham (C),2021,85.9348199,5.746140652
Mansfield (S),2021,92,1.333333333
Maribyrnong (C),2021,87.87878788,5.575757576
Maroondah (C),2021,83.97383483,5.478331971
Melbourne (C),2021,80.54662379,10.45016077
Melton (C),2021,80.48148148,9.333333333
Mildura (RC),2021,82.54211332,9.954058193
Mitchell (S),2021,72.34678625,12.10762332
Moira (S),2021,76.08695652,11.49068323
Monash (C),2021,84.30571762,6.184364061
Moonee Valley (C),2021,85.95859586,5.670567057
Moorabool (S),2021,80.42959427,9.307875895
Moreland (C),2021,79.59731544,8.120805369
Mornington Peninsula (S),2021,80.99870298,6.549935149
Mount Alexander (S),2021,87.64705882,4.117647059
Moyne (S),2021,84.61538462,7.211538462
Murrindindi (S),2021,89.16666667,3.333333333
Nillumbik (S),2021,84,4.52173913
Northern Grampians (S),2021,76.54320988,12.34567901
Port Phillip (C),2021,81.47651007,6.845637584
Pyrenees (S),2021,82.35294118,8.823529412
South Gippsland (S),2021,75.40453074,11.97411003
Southern Grampians (S),2021,85.54216867,6.626506024
Stonnington (C),2021,85.33772652,3.13014827
Strathbogie (S),2021,87.03703704,7.407407407
Surf Coast (S),2021,92.5170068,2.494331066
Swan Hill (RC),2021,71.94570136,15.38461538
Towong (S),2021,72.09302326,9.302325581
Wangaratta (RC),2021,80.42813456,9.480122324
Warrnambool (C),2021,83.51648352,7.692307692
Wellington (S),2021,75.23809524,11.42857143
West Wimmera (S),2021,77.41935484,9.677419355
Whitehorse (C),2021,84.68468468,6.628056628
Whittlesea (C),2021,82.1632516,6.818945247
Wodonga (C),2021,80.78994614,7.540394973
Wyndham (C),2021,80.50395046,8.904548366
Yarra (C),2021,78.24427481,9.732824427
Yarra Ranges (S),2021,79.7731569,8.380592313
Yarriambiack (S),2021,79.66101695,11.86440678
